time,wallTime,pacc_liq,pin_LHEX_liq,Tout_LHEX_liq,Tin_LHEX_liq,cooling_power
257.73,18.149120863,153998.4227724,580944.0568414,311.308203966,314.736720631,4.95709950067
258.74,18.214235919,153998.1434324,580958.8855964,311.296783403,314.725024496,4.9553806803
259.75,18.301664726,153997.9019324,580973.6117264,311.285466565,314.71361374,4.95350350558
260.76,18.358340611,153997.6330632,580988.2040232,311.274273485,314.702380783,4.95148331372
261.77,18.430355706,153997.3889707,581002.6536947,311.263214141,314.691049581,4.94933375461
262.78,18.497793173,153997.1630141,581017.0127011001,311.252282892,314.680186922,4.94706726666
263.79,18.565199109,153996.9382136,581031.1470846001,311.241508132,314.669111661,4.94469507501
264.8,18.627395974,153996.7304227,581045.2471847,311.230863943,314.658220025,4.94222733403
265.81,18.69650512,153996.5195705,581059.1383205,311.220375212,314.647554609,4.93967326131
266.82,18.752502664,153996.3092748,581072.8245508,311.210049713,314.637040393,4.93704117145
267.83,18.815712439,153996.1283967,581086.2982126999,311.199893033,314.626725058,4.93433849318
268.84,18.880958425,153995.9743736,581099.4625426,311.189923776,314.616806152,4.93157200231
269.85,18.937810769,153995.8275175,581112.3192344999,311.180155748,314.607038649,4.92874786654
270.86,19.004696454,153995.6837224,581125.1245594,311.17055674,314.596970768,4.92587158595
271.87,19.06540021,153995.5330474,581137.7657833999,311.161129104,314.587124148,4.92294823023
272.88,19.131804705,153995.4237414,581150.1129454,311.151886007,314.577721525,4.91998225658
273.89,19.238660383,153995.3405716,581162.1582936,311.142843467,314.568371171,4.91697769183
274.9,19.3103831,153995.2263456,581174.0404596,311.133984593,314.559221954,4.9139384239
275.91,19.372640114,153995.1298015,581185.6261755,311.1253231,314.550424028,4.91086776935
276.92,19.434078519,153995.068763,581196.8842910001,311.116874547,314.541673052,4.90776861687
277.93,19.490242714,153995.0023473,581207.9654633,311.10861633,314.533117736,4.90464381567
278.94,19.55776779,153994.9714692,581218.7727892001,311.100557428,314.52476049,4.90149571461
279.95,19.622977805,153994.94532169998,581229.3147887,311.092699783,314.516597814,4.89832663905
280.96,19.68031043,153994.9139603,581239.5967253,311.085044837,314.508634814,4.89513864521
281.97,19.739182495,153994.9176,581249.601084,311.077593693,314.500870784,4.89193344274
282.98,19.796887949,153994.93072519999,581259.2774302,311.070356942,314.493433097,4.88871276305
283.99,19.852809055,153994.9567756,581268.7404756,311.063321646,314.485930502,4.88547803246
285.0,19.90753611,153995.00378139998,581277.9584904,311.056482679,314.478791942,4.88223062672
286.01,19.962628404,153995.04926919998,581286.8277742,311.049860951,314.471799156,4.87897179319
287.02,20.020334438,153995.12125069997,581295.4647797,311.043441351,314.46506946,4.87570259282
288.03,20.077088183,153995.1993585,581303.8337805,311.037226737,314.458453195,4.87242404307
289.04,20.145105448,153995.31983139997,581311.8216644,311.031232312,314.452276513,4.86913696353
290.05,20.243342307,153995.4677022,581319.5132442,311.02545412,314.446066131,4.86584216335
291.06,20.305763462,153995.5787951,581326.9891060999,311.019881056,314.440407752,4.86254057297
292.07,20.365544437,153995.70476639998,581334.1050694,311.014531425,314.434623692,4.85923275057
293.08,20.431821802,153995.8857701,581340.9539891001,311.009389224,314.429076638,4.85591919002
294.09,20.515945309,153996.0621599,581347.5154259,311.004462366,314.423753878,4.85260051973
295.1,20.569794253,153996.243608,581353.7790829999,310.999746386,314.418878093,4.84927731366
296.11,20.632455358,153996.4545941,581359.7280680999,310.995248416,314.414040882,4.84594989141
297.12,20.690162413,153996.6651628,581365.4064788,310.990962892,314.409368709,4.84261872757
298.13,20.753094228,153996.9209595,581370.7305705,310.986896791,314.405090324,4.83928409819
299.14,20.829395044,153997.1797636,581375.8081905999,310.983042596,314.400803994,4.83594637595
300.15,20.89430347,154014.9657216,581379.9969536001,310.979390837,314.396710019,4.83260938159
301.16,20.956033945,154089.2310502,581351.9317581999,310.975943146,314.392682186,4.82947669728
302.17,21.045714031,154116.1218976,581304.3845616,310.97271004,314.389150774,4.82664496038
303.18,21.113194387,154125.7660726,581259.0364736,310.969676684,314.385881924,4.82408526054
304.19,21.175029772,154129.1376701,581221.8890431,310.966824974,314.382828915,4.82177146306
305.2,21.239504497,154130.2325995,581193.3265975,310.964137313,314.379959443,4.81967994504
306.21,21.303911972,154130.50529109998,581172.0969241,310.961597193,314.377247765,4.81778935296
307.22,21.371074527,154130.4847665,581156.6919155,310.95918944,314.374674785,4.81608038502
