time,Alt,Mach,Weight_On_Nose_Wheels,Aircraft_state,heat_load
1128.0,10000.0,1.2,0,4,4000
1129.0,10000.0,1.2,0,4,4000
1130.0,10000.0,1.2,0,4,4000
1131.0,10000.0,1.2,0,4,4000
1132.0,10000.0,1.2,0,4,4000
1133.0,10000.0,1.2,0,4,4000
1134.0,10000.0,1.2,0,4,4000
1135.0,10000.0,1.2,0,4,4000
1136.0,10000.0,1.2,0,4,4000
1137.0,10000.0,1.2,0,4,4000
1138.0,10000.0,1.2,0,4,4000
1139.0,10000.0,1.2,0,4,4000
1140.0,10000.0,1.2,0,4,4000
1141.0,10000.0,1.2,0,4,4000
1142.0,10000.0,1.2,0,4,4000
1143.0,10000.0,1.2,0,4,4000
1144.0,10000.0,1.2,0,4,4000
1145.0,10000.0,1.2,0,4,4000
1146.0,10000.0,1.2,0,4,4000
1147.0,10000.0,1.2,0,4,4000
1148.0,10000.0,1.2,0,4,4000
1149.0,10000.0,1.2,0,4,4000
1150.0,10000.0,1.2,0,4,4000
1151.0,10000.0,1.2,0,4,4000
1152.0,10000.0,1.2,0,4,4000
1153.0,10000.0,1.2,0,4,4000
1154.0,10000.0,1.2,0,4,4000
1155.0,10000.0,1.2,0,4,4000
1156.0,10000.0,1.2,0,4,4000
1157.0,10000.0,1.2,0,4,4000
1158.0,10000.0,1.2,0,4,4000
1159.0,10000.0,1.2,0,4,4000
1160.0,10000.0,1.2,0,4,4000
1161.0,10000.0,1.2,0,4,4000
1162.0,10000.0,1.2,0,4,4000
1163.0,10000.0,1.2,0,4,4000
1164.0,10000.0,1.2,0,4,4000
1165.0,10000.0,1.2,0,4,4000
1166.0,10000.0,1.2,0,4,4000
1167.0,10000.0,1.2,0,4,4000
1168.0,10000.0,1.2,0,4,4000
1169.0,10000.0,1.2,0,4,4000
1170.0,10000.0,1.2,0,4,4000
1171.0,10000.0,1.2,0,4,4000
1172.0,10000.0,1.2,0,4,4000
1173.0,10000.0,1.2,0,4,4000
1174.0,10000.0,1.2,0,4,4000
1175.0,10000.0,1.2,0,4,4000
1176.0,10000.0,1.2,0,4,4000
1177.0,10000.0,1.2,0,4,4000
1178.0,10000.0,1.2,0,4,4000
1179.0,10000.0,1.2,0,4,4000
1180.0,10000.0,1.2,0,4,4000
1181.0,10000.0,1.2,0,4,4000
1182.0,10000.0,1.2,0,4,4000
1183.0,10000.0,1.2,0,4,4000
1184.0,10000.0,1.2,0,4,4000
1185.0,10000.0,1.2,0,4,4000
1186.0,10000.0,1.2,0,4,4000
1187.0,10000.0,1.2,0,4,4000
1188.0,10000.0,1.2,0,4,4000
1189.0,10000.0,1.2,0,4,4000
1190.0,10000.0,1.2,0,4,4000
1191.0,10000.0,1.2,0,4,4000
1192.0,10000.0,1.2,0,4,4000
1193.0,10000.0,1.2,0,4,4000
1194.0,10000.0,1.2,0,4,4000
1195.0,10000.0,1.2,0,4,4000
1196.0,10000.0,1.2,0,4,4000
1197.0,10000.0,1.2,0,4,4000
1198.0,10000.0,1.2,0,4,4000
1199.0,10000.0,1.2,0,4,4000
1200.0,10000.0,1.2,0,4,4000
1201.0,10000.0,1.2,0,4,4000
1202.0,10000.0,1.2,0,4,4000
1203.0,10000.0,1.2,0,4,4000
1204.0,10000.0,1.2,0,4,4000
1205.0,10000.0,1.2,0,4,4000
1206.0,10000.0,1.2,0,4,4000
1207.0,10000.0,1.2,0,4,4000
1208.0,10000.0,1.2,0,4,4000
1209.0,10000.0,1.2,0,4,4000
1210.0,10000.0,1.2,0,4,4000
1211.0,10000.0,1.2,0,4,4000
1212.0,10000.0,1.2,0,4,4000
1213.0,10000.0,1.2,0,4,4000
1214.0,10000.0,1.2,0,4,4000
1215.0,10000.0,1.2,0,4,4000
1216.0,10000.0,1.2,0,4,4000
1217.0,10000.0,1.2,0,4,4000
1218.0,10000.0,1.2,0,4,4000
1219.0,10000.0,1.2,0,4,4000
1220.0,10000.0,1.2,0,4,4000
1221.0,10000.0,1.2,0,4,4000
1222.0,10000.0,1.2,0,4,4000
1223.0,10000.0,1.2,0,4,4000
1224.0,10000.0,1.2,0,4,4000
1225.0,10000.0,1.2,0,4,4000
1226.0,10000.0,1.2,0,4,4000
1227.0,10000.0,1.2,0,4,4000
1228.0,10000.0,1.2,0,4,4000
1229.0,10000.0,1.2,0,4,4000
1230.0,10000.0,1.2,0,4,4000
1231.0,10000.0,1.2,0,4,4000
1232.0,10000.0,1.2,0,4,4000
1233.0,10000.0,1.2,0,4,4000
1234.0,10000.0,1.2,0,4,4000
1235.0,10000.0,1.2,0,4,4000
1236.0,10000.0,1.2,0,4,4000
1237.0,10000.0,1.2,0,4,4000
1238.0,10000.0,1.2,0,4,4000
1239.0,10000.0,1.2,0,4,4000
1240.0,10000.0,1.2,0,4,4000
1241.0,10000.0,1.2,0,4,4000
1242.0,10000.0,1.2,0,4,4000
1243.0,10000.0,1.2,0,4,4000
1244.0,10000.0,1.2,0,4,4000
1245.0,10000.0,1.2,0,4,4000
1246.0,10000.0,1.2,0,4,4000
1247.0,10000.0,1.2,0,4,4000
1248.0,10000.0,1.2,0,4,4000
1249.0,10000.0,1.2,0,4,4000
1250.0,10000.0,1.2,0,4,4000
1251.0,10000.0,1.2,0,4,4000
1252.0,10000.0,1.2,0,4,4000
1253.0,10000.0,1.2,0,4,4000
1254.0,10000.0,1.2,0,4,4000
1255.0,10000.0,1.2,0,4,4000
1256.0,10000.0,1.2,0,4,4000
1257.0,10000.0,1.2,0,4,4000
1258.0,10000.0,1.2,0,4,4000
1259.0,10000.0,1.2,0,4,4000
1260.0,10000.0,1.2,0,4,4000
1261.0,10000.0,1.2,0,4,4000
1262.0,10000.0,1.2,0,4,4000
1263.0,10000.0,1.2,0,4,4000
1264.0,10000.0,1.2,0,4,4000
1265.0,10000.0,1.2,0,4,4000
1266.0,10000.0,1.2,0,4,4000
1267.0,10000.0,1.2,0,4,4000
1268.0,10000.0,1.2,0,4,4000
1269.0,10000.0,1.2,0,4,4000
1270.0,10000.0,1.2,0,4,4000
1271.0,10000.0,1.2,0,4,4000
1272.0,10000.0,1.2,0,4,4000
1273.0,10000.0,1.2,0,4,4000
1274.0,10000.0,1.2,0,4,4000
1275.0,10000.0,1.2,0,4,4000
1276.0,10000.0,1.2,0,4,4000
1277.0,10000.0,1.2,0,4,4000
1278.0,10000.0,1.2,0,4,4000
1279.0,10000.0,1.2,0,4,4000
1280.0,10000.0,1.2,0,4,4000
1281.0,10000.0,1.2,0,4,4000
1282.0,10000.0,1.2,0,4,4000
1283.0,10000.0,1.2,0,4,4000
1284.0,10000.0,1.2,0,4,4000
1285.0,10000.0,1.2,0,4,4000
1286.0,10000.0,1.2,0,4,4000
1287.0,10000.0,1.2,0,4,4000
1288.0,10000.0,1.2,0,4,4000
1289.0,10000.0,1.2,0,4,4000
1290.0,10000.0,1.2,0,4,4000
1291.0,10000.0,1.2,0,4,4000
1292.0,10000.0,1.2,0,4,4000
1293.0,10000.0,1.2,0,4,4000
1294.0,10000.0,1.2,0,4,4000
1295.0,10000.0,1.2,0,4,4000
1296.0,10000.0,1.2,0,4,4000
